i,q,p_L
60,2.05,0.49327895485935047
60,2.1,0.48910639177856385
60,2.15,0.4847942240084466
60,2.2,0.4809860097278379
60,2.25,0.4762726812661917
60,2.3,0.47268962890531513
60,2.35,0.46814254928346744
60,2.4,0.46449970644396865
60,2.45,0.4605990060446821
60,2.5,0.4570179662494276
60,2.55,0.45297980047875547
60,2.6,0.4491460842728368
60,2.65,0.4465296846766651
60,2.7,0.44297133150614876
60,2.75,0.43909187362377694
60,2.8,0.43508312978069413
60,2.85,0.4321239746955727
60,2.9,0.42809597803140953
60,2.95,0.4257140537132984
65,0.0,0.5800527138191816
65,0.05,0.579857257243142
65,0.1,0.5793377386399625
65,0.15,0.5785354096400909
65,0.2,0.5779162600150146
65,0.25,0.5768809433324205
65,0.3,0.5770070957659348
65,0.35,0.575607491302027
65,0.4,0.5745140301188446
65,0.45,0.5732797302854066
65,0.5,0.5725837582674654
65,0.55,0.5715281091864769
65,0.6,0.5692470508680694
65,0.65,0.5683937551679337
65,0.7,0.566737440185432
65,0.75,0.56497854599873
65,0.8,0.5634273581293557
65,0.85,0.5617580144400531
65,0.9,0.5605747201650969
65,0.95,0.5581940619369781
65,1.0,0.5534209068998631
65,1.05,0.5526192752524924
65,1.1,0.549791952345119
65,1.15,0.5478992249863046
65,1.2,0.5449645283886947
65,1.25,0.5421257845508876
65,1.3,0.5392669882158583
65,1.35,0.5354919209531286
65,1.4,0.5320790389848836
65,1.45,0.5287000189323803
65,1.5,0.5256314637688764
65,1.55,0.5219784832067382
65,1.6,0.5166758962912084
65,1.65,0.5128698866529131
65,1.7,0.5080913616842289
65,1.75,0.5056565104832874
65,1.8,0.5009161445425925
65,1.85,0.4955778498992302
65,1.9,0.4913358731429033
65,1.95,0.48675608878218374
65,2.0,0.48096561367421986
65,2.05,0.47738578847300017
65,2.1,0.4726719736669553
65,2.15,0.46904447137520505
65,2.2,0.46479564880739976
65,2.25,0.4603744038236985
65,2.3,0.4560496153827831
65,2.35,0.4507168761566759
65,2.4,0.44703479644653116
65,2.45,0.44364501602997547
65,2.5,0.4399120952759349
65,2.55,0.4360520390553836
65,2.6,0.43263832489561266
65,2.65,0.4292116060055086
65,2.7,0.4262074113594661
65,2.75,0.42236373375846037
65,2.8,0.41877819181179826
65,2.85,0.4151119306029428
65,2.9,0.4120879129949702
65,2.95,0.4098520664857769
70,0.0,0.5711001011168293
70,0.05,0.5710094493740255
70,0.1,0.570278755135089
70,0.15,0.5696671096212503
70,0.2,0.5689256323936769
70,0.25,0.5682847928440803
70,0.3,0.5668800883488444
70,0.35,0.5662937263200772
70,0.4,0.5658620479527124
70,0.45,0.5642028717104758
70,0.5,0.5632708676958498
70,0.55,0.5618971458391456
70,0.6,0.5599091866693626
70,0.65,0.5579569520258696
70,0.7,0.5571365226557299
70,0.75,0.5546980487695162
70,0.8,0.5533809068693702
70,0.85,0.5516661892215705
70,0.9,0.5504489502210805
70,0.95,0.5474852513343876
70,1.0,0.5432592984666559
70,1.05,0.5411869646563385
70,1.1,0.5384210581576891
70,1.15,0.5354732611650533
70,1.2,0.5326462299761351
70,1.25,0.5302814487838292
70,1.3,0.5275370049060704
70,1.35,0.5217401884556693
70,1.4,0.5191908656370021
70,1.45,0.5147074115048038
70,1.5,0.5111785910586397
70,1.55,0.5075517649753762
